,lat,long,dt_txt,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
172,22.72,75.83,2020-08-02 20:30:00+05:30,29.08,74,0.0,40,Haze,1003,550.43,31.00111111,15.26433752,0.0
173,21.1,81.03,2020-03-19 08:30:00+05:30,25.31,66,0.0,84,Clouds,1017,308.0,78.64333333,4.123105626,0.0
174,22.01,82.58,2020-09-09 05:30:00+05:30,28.44,87,0.91,100,Clouds,1006,273.31,85.34555556,6.403124237,0.0
175,33.73,75.15,2020-03-10 17:30:00+05:30,8.66,38,0.52,90,Clouds,1013,1598.02,85.47444444,22.02271555,0.0
176,19.38,85.07,2020-11-10 14:30:00+05:30,26.88,72,3.38,83,Clouds,1011,3.72,44.61777778,3.605551275,0.0
177,18.43,79.15,2020-04-27 08:30:00+05:30,29.91,74,4.48,40,Clouds,1012,259.98,48.10111111,7.071067812,0.0
178,28.58,77.33,2020-10-06 08:30:00+05:30,24.89,64,1.92,0,Clear,1009,200.81,8.835555556,100.0,0.0
179,34.08,74.82,2020-05-12 17:30:00+05:30,23.62,36,0.5,62,Clouds,1005,1587.79,26.64888889,5.656854249,0.0
180,24.53,81.3,2020-10-05 23:30:00+05:30,25.88,78,0.9,65,Clouds,1007,305.52,68.15,4.123105626,0.0
181,25.35,72.63,2020-04-19 02:30:00+05:30,28.22,38,2.4,39,Clouds,1009,164.08,2.122222222,4.472135955,0.0
182,25.67,94.12,2020-11-25 17:30:00+05:30,17.0,60,1.0,95,Clouds,1014,1433.54,77.65666667,100.0,0.0
183,25.45,81.85,2020-05-20 08:30:00+05:30,29.98,64,2.19,97,Clouds,1001,94.68,13.99555556,17.4642492,0.0
184,24.72,80.2,2020-08-18 23:30:00+05:30,26.57,94,3.02,91,Rain,1001,406.7,70.34,3.605551275,0.0
185,24.18,88.27,2020-05-06 23:30:00+05:30,25.41,92,1.92,1,Clear,1009,21.42,82.21333333,2.0,0.0
186,11.22,78.17,2021-01-05 05:30:00+05:30,22.91,94,0.88,84,Rain,1011,193.41,43.05444444,30.08321791,0.0
187,15.83,78.04,2020-06-09 17:30:00+05:30,37.0,32,2.6,20,Clouds,1000,280.11,38.03444444,9.433981132,0.0
188,28.43,77.32,2020-09-02 20:30:00+05:30,30.72,80,1.65,100,Clouds,1007,203.14,26.34,33.52610923,0.0
189,22.08,82.15,2020-07-18 20:30:00+05:30,30.65,77,2.16,99,Rain,1004,264.07,39.40888889,8.602325267,0.0
190,26.56,78.79,2020-05-20 17:30:00+05:30,39.18,26,3.76,0,Clear,998,152.93,58.78555556,1.0,0.0
191,30.92,77.12,2020-10-28 17:30:00+05:30,20.11,59,1.87,0,Clear,1014,1291.0,86.54888889,69.42621983,0.0
192,14.23,76.4,2020-06-20 02:30:00+05:30,23.03,87,4.6,20,Clouds,1008,721.97,9.648888889,13.0,0.0
193,23.83,80.39,2020-05-24 17:30:00+05:30,41.57,27,2.59,83,Clouds,1001,373.0,28.77555556,51.0881591,0.0
194,26.27,82.07,2020-03-31 08:30:00+05:30,21.99,64,3.03,0,Clear,1012,90.46,67.16888889,2.0,0.0
195,17.33,76.83,2020-12-02 17:30:00+05:30,29.37,37,1.0,20,Clouds,1009,454.18,11.57,5.099019514,0.0
196,24.6,76.15,2020-04-12 14:30:00+05:30,38.79,23,3.39,0,Clear,1009,314.89,35.80333333,11.04536102,0.0
197,19.17,83.42,2020-05-26 17:30:00+05:30,34.84,64,3.21,42,Clouds,1004,215.94,82.28222222,8.062257748,0.0
198,9.27,76.78,2020-09-24 02:30:00+05:30,24.81,95,1.06,97,Clouds,1011,32.86,80.36888889,64.63745044,0.0
199,25.67,94.5,2020-07-01 11:30:00+05:30,25.17,83,0.74,100,Clouds,1006,1662.83,96.40777778,100.0,0.0
200,26.47,79.52,2020-08-27 17:30:00+05:30,30.94,84,1.91,82,Rain,1000,142.02,69.82,45.27692569,0.0
201,22.97,76.07,2020-04-07 20:30:00+05:30,29.57,29,4.21,4,Clear,1008,546.32,68.27555556,4.472135955,0.0
202,21.49,86.93,2020-03-15 11:30:00+05:30,28.99,42,1.5,13,Clouds,1015,17.36,85.88444444,16.2788206,0.0
203,25.01,88.14,2020-02-07 14:30:00+05:30,23.01,46,0.0,20,Clouds,1018,25.9,60.47,5.0,0.0
204,24.75,78.83,2020-02-08 05:30:00+05:30,10.37,88,1.85,15,Clouds,1020,351.31,55.25777778,11.04536102,0.0
205,8.88,76.6,2020-08-09 23:30:00+05:30,25.97,89,2.18,100,Rain,1010,11.96,37.92,7.071067812,0.0
206,27.63,78.67,2020-10-17 11:30:00+05:30,31.8,42,1.16,0,Clear,1010,169.06,90.08555556,55.10898293,0.0
207,15.35,76.15,2020-08-15 11:30:00+05:30,26.37,77,8.53,100,Clouds,1007,526.54,0.0,8.602325267,0.0
208,28.78,76.13,2020-03-22 11:30:00+05:30,28.32,51,0.23,0,Clear,1014,215.17,13.61777778,100.0,0.0
