,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
308,13.5,9.114444,345.87,23.57,80,2.96,34,scattered clouds,1011,0
309,13,46.09,306.38,23.22,42,3.22,70,broken clouds,1015,0
310,10,1.498889,94.42,27.54,58,2.36,99,overcast clouds,1009,0
311,7,91.02222,144.18,34.19,10,5.32,60,broken clouds,1008,0
312,5.2,96.40222,818.76,9.51,80,1.51,0,clear sky,1017,0
313,67.5,81.16556,817.1,27.45,26,5.26,17,few clouds,1010,0
314,151,58.86,448.88,23.49,56,6.56,0,clear sky,1013,0
315,77.6,13.14889,80.62,19.53,41,3.58,0,clear sky,1011,0
316,43.2,8.385556,492.02,20.49,90,1.36,27,scattered clouds,1011,0
317,15.5,88.14889,121.72,25.03,18,4.39,0,clear sky,1013,0
318,34.05,77.65667,1433.54,17.39,96,0.81,84,broken clouds,1006,0
319,1.683,56.30111,62.43,35.92,49,1.75,100,overcast clouds,993,0
320,9.6,55.94222,272.85,28.18,29,2.33,79,broken clouds,1011,0
321,22.5,20.14889,577.26,11.7,36,3.12,0,clear sky,1015,0
322,19.1,9.648889,721.97,25.32,68,8.46,100,overcast clouds,1007,0
323,0.1,26.23889,24.78,30.52,23,2.27,0,clear sky,1011,0
324,5.4,0.032222,291.66,31.36,12,1.79,3,clear sky,1012,0
325,0.2,64.59,319.74,16.02,46,1.57,0,clear sky,1015,0
326,12.6,90.09889,314.26,29.46,69,4.03,99,light rain,1005,0
327,227,50.45,331.11,33.43,44,2.32,0,clear sky,1002,0
328,32.48,62.10111,225.4,18.87,25,2.01,0,clear sky,1016,0
329,16.5,16.11667,229.45,20.35,49,1.59,90,overcast clouds,1010,0
330,50,68.80778,467.99,28.28,25,3.09,0,clear sky,1013,0
331,16.178,82.29444,107.51,22.76,41,3.89,49,scattered clouds,1015,0
332,12.5,90.75,15.66,33.42,54,7.52,62,broken clouds,1000,0
333,6.8,68.15,305.52,20.3,36,1.49,39,scattered clouds,1014,0
334,8.2,77.48111,423.78,36.47,8,2.34,79,broken clouds,1008,0
335,7.01,31.00111,550.43,28.66,20,3.06,0,clear sky,1011,0
336,23.65,0,526.54,26.59,76,5.09,100,moderate rain,1007,0
337,8.7,0.291111,235.65,33.69,41,6.82,0,clear sky,1004,0
338,16,71.22667,116.5,29.17,36,2.59,73,broken clouds,1011,0
339,0.1,41.54667,235.18,26.33,16,4.21,0,clear sky,1015,0
340,3.26,90.29667,80.94,18.06,32,1.65,0,clear sky,1015,0
341,14.2,62.78667,235.93,31.04,39,2.43,0,clear sky,1004,0
342,3.146,73.53556,8.26,42.91,17,0.94,0,clear sky,1012,0
343,0.1,36.17667,236.29,14.04,44,0.21,0,clear sky,1016,0
344,5.4,88.38889,449.9,24.63,28,1.25,0,clear sky,1008,0
345,0.1,19.25444,77.28,30.31,75,3.36,89,overcast clouds,998,0
346,5.25,74.67667,476.85,44.92,6,7.54,0,clear sky,999,0
347,3.7,51.77778,207.82,19.95,32,2.82,0,clear sky,1017,0
348,40,33.20889,355.3,23.65,82,0.75,100,light rain,1010,0
349,8.6,18.48667,261.22,23.23,52,4.43,0,clear sky,1010,0
350,13.44,2.317778,417.7,20.62,21,1.24,0,clear sky,1012,0
351,2.635,10.20778,234.32,29.25,72,7.56,100,moderate rain,1000,0
352,1.2,64.18,378.78,23.88,88,5.06,93,overcast clouds,1002,0
353,43.2,0.25,226.58,33.17,50,4.06,0,clear sky,1004,0
354,6.86,26.34,203.14,19.78,67,1.86,0,clear sky,1013,0
355,13.2,69.41222,435.46,26.07,56,3.73,6,clear sky,1006,0
356,100,91.41111,151.89,23.95,41,0.13,19,few clouds,1009,0
357,21,78.14333,1625.74,26.56,68,2.48,32,light rain,1002,0
358,3.041,44.37111,153.62,21.94,52,2.44,0,clear sky,1006,0
359,3.4,11.39333,178.11,31.02,65,4.6,13,light rain,995,0
360,42.75,92.24111,178.66,31.91,22,0.98,30,scattered clouds,1003,0
361,8.5,64.89,81.39,27.41,74,4.14,14,few clouds,1006,0
362,11.83,94.82556,443.13,33.91,24,1.52,2,clear sky,1009,0
363,1.02,27.37556,816.75,32.31,18,4.13,0,clear sky,1014,0
364,62.66,48.32556,286.23,27.42,69,0.53,87,overcast clouds,1004,0
365,0.1,96.40778,1662.83,22.19,87,0.66,55,light rain,1006,0
366,1.2,86.47667,15.89,30.63,70,2.43,100,light rain,1007,0
367,18,24.28,602.12,22.44,60,3.28,0,clear sky,1016,0
368,9.5,15.96333,4.65,39.93,29,5.63,8,clear sky,1006,0
369,0.5,36.22667,165.89,31.25,64,4.81,94,overcast clouds,998,0
370,3.24,50.47111,256.09,29.89,28,1.95,2,clear sky,1011,0
371,17.5,4.252222,918.3,22.49,77,9.59,100,light rain,1003,0
372,18.5,34.71222,574.04,23.35,86,6.75,99,light rain,1007,0
373,13.5,58.35778,701.86,21.61,87,7.88,100,light rain,1007,0
374,6.275,80.62556,181.65,9.72,61,1.09,0,clear sky,1021,0
375,7.2,90.24444,53.76,26.18,47,3.27,0,clear sky,1012,0
376,11.714,24.78778,295.24,28.27,38,1.52,0,clear sky,1010,0
377,27.7,56.42,273.97,25.34,91,7.19,100,heavy intensity rain,997,0
378,20.069,3.897778,2.32,30.63,44,4.08,0,clear sky,1013,0
379,6.77,4.356667,227.43,19.44,26,1.47,0,clear sky,1014,0
380,33,84.91556,216.86,38.86,11,1.39,8,clear sky,1005,0
