forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
97.56444444,2076.8,20.46,93,1.01,90,Clouds,1007,1
78.95222222,484,20.03,93,1.6,97,Rain,1012,1
87.16555556,30.5,25.11,87,3.56,100,Rain,999,1
42.3265,-5.72,26.44,92,4.1,40,Thunderstorm,1005,1
85.16222222,49,28.69,83,3.22,94,Clouds,1006,1
42.6598,92.75,26.36,92,1.58,100,Rain,1000,1
7.435555556,464.02,23.78,90,3.97,99,Clouds,1005,1
93.03333333,742.92,23.26,96,1.04,100,Rain,1011,1
95.92777778,290.59,25.33,88,1.53,100,Clouds,1000,1
0,483.22,26.79,84,4.19,100,Rain,1006,1
94.02777778,524.75,24.14,99,0.71,99,Rain,1005,1
55.69754,83.26,21.27,88,0.81,100,Rain,1015,1
70.17111111,54.95,24.93,93,3.95,100,Clouds,1012,1
90.27333333,330.04,27.76,86,1.11,100,Clouds,1001,1
81.2365,98.41,24.24,92,0.77,65,Rain,1007,1
79.77555556,754.33,28.21,55,1.68,100,Clouds,1009,1
83.654265,147.4,25.52,91,1.24,95,Clouds,1005,1
93.07555556,141.54,29.05,91,0.71,96,Rain,999,1
92.30444444,494.71,25.26,94,2.72,35,Clouds,1001,1
96.56666667,377.86,25.59,94,1.01,98,Rain,1009,1
43.63333333,265.29,25.97,89,1.54,49,Clouds,1006,1
89.28333333,199.69,22.77,98,2.84,100,Rain,1011,1
95.09777778,1435.91,1.81,58,1.8,0,Clear,1018,1
84.74111111,674.86,25.26,90,3.61,100,Rain,1002,1
92.52777778,127.44,28.91,71,0.53,100,Clouds,1001,1
91.86222222,135.37,25.64,94,1.83,100,Rain,996,1
79.6987,91.91,25.78,95,1.2,100,Rain,1001,1
94.43444444,1826.14,22.11,95,0.76,100,Rain,1000,1
2.521111111,626.36,21.28,94,7.55,100,Rain,1009,1
90.49888889,39.56,27.78,92,1.03,99,Rain,1001,1
87.88666667,469.08,24.45,97,1.92,100,Rain,1002,1
63.19,2.02,27.71,92,5.15,100,Rain,1001,1
